names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
LYPD6,-0.17663164,,0.859797733901555,0.8978897217631772,R_Pre_vs_NR_Pre,0.04677699982569516
C3AR1,-0.17696996,-3.8018155,0.8595319876278562,0.8976644616947185,R_Pre_vs_NR_Pre,0.04688596808311593
PJA1,-0.17737593,-1.1619835,0.8592131131031315,0.8974946977699936,R_Pre_vs_NR_Pre,0.046968108472245584
RALGDS,-0.17740975,-4.0391126,0.8591865412618129,0.8974946977699936,R_Pre_vs_NR_Pre,0.046968108472245584
DPP4,-0.17991325,,0.8572206695561012,0.895824315205205,R_Pre_vs_NR_Pre,0.04777715375097374
FLVCR1,-0.18092819,,0.8564239460574414,0.8954090309715209,R_Pre_vs_NR_Pre,0.04797852969646605
CCDC88C,-0.18102968,,0.8563442817403432,0.8953779275972416,R_Pre_vs_NR_Pre,0.04799361582801825
PSD3,-0.18217993,7.088338,0.8554415219658005,0.8945383013304494,R_Pre_vs_NR_Pre,0.048401059567989374
AURKA,-0.18234909,-15.992596,0.8553087791016696,0.8944516340888329,R_Pre_vs_NR_Pre,0.04844313817791343
ARHGEF9,-0.18265356,-9.076153,0.855069852266652,0.8943060468753544,R_Pre_vs_NR_Pre,0.04851383274349025
XPO1,-0.18360083,-2.3127491,0.8543266094052433,0.8935807999715016,R_Pre_vs_NR_Pre,0.04886617131143941
AMZ2,-0.18373616,,0.8542204423898454,0.8935218552445651,R_Pre_vs_NR_Pre,0.04889482033121498
IPO8,-0.18393914,1.6546284,0.8540611968167624,0.8934073797818454,R_Pre_vs_NR_Pre,0.04895046446178937
FILIP1L,-0.1844466,2.3709545,0.8536631089101495,0.8930430307126764,R_Pre_vs_NR_Pre,0.049127614402802104
VCPKMT,-0.18488641,,0.8533181295262089,0.8927862704835892,R_Pre_vs_NR_Pre,0.049252497056881624
KCNAB2,-0.1849879,,0.853238522880284,0.8927550526963681,R_Pre_vs_NR_Pre,0.04926768316604942
DOCK6,-0.18532622,-0.829954,0.8529731781926417,0.8925572439071485,R_Pre_vs_NR_Pre,0.04936392096841599
WDR76,-0.18613815,-0.12095622,0.8523364188729391,0.8920192929838262,R_Pre_vs_NR_Pre,0.049625752411092246
