names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
DKK1,50.72128,,0.0,0.0,R_Post_vs_NR_Post,100.0
TMEM176A,50.711956,-2.0829432,0.0,0.0,R_Post_vs_NR_Post,100.0
CYBRD1,50.6818,1.2539432,0.0,0.0,R_Post_vs_NR_Post,100.0
CAPN8,50.65851,,0.0,0.0,R_Post_vs_NR_Post,100.0
TFPI,50.639668,,0.0,0.0,R_Post_vs_NR_Post,100.0
CEACAM1,50.59895,20.32739,0.0,0.0,R_Post_vs_NR_Post,100.0
CALCOCO1,50.542065,,0.0,0.0,R_Post_vs_NR_Post,100.0
GLRX,50.507782,,0.0,0.0,R_Post_vs_NR_Post,100.0
RHOF,50.474113,-2.9673598,0.0,0.0,R_Post_vs_NR_Post,100.0
ERN2,50.47201,,0.0,0.0,R_Post_vs_NR_Post,100.0
ARPC3,50.458523,-2.5157516,0.0,0.0,R_Post_vs_NR_Post,100.0
ZFYVE21,50.42483,,0.0,0.0,R_Post_vs_NR_Post,100.0
SH3BGRL,50.408073,,0.0,0.0,R_Post_vs_NR_Post,100.0
ST3GAL1,50.326866,,0.0,0.0,R_Post_vs_NR_Post,100.0
SDCBP,50.302826,,0.0,0.0,R_Post_vs_NR_Post,100.0
MACC1,50.269444,-5.334707,0.0,0.0,R_Post_vs_NR_Post,100.0
GGT5,50.25645,2.4325035,0.0,0.0,R_Post_vs_NR_Post,100.0
UBALD2,50.25278,-2.7274406,0.0,0.0,R_Post_vs_NR_Post,100.0
CXCL16,50.237362,-0.14687344,0.0,0.0,R_Post_vs_NR_Post,100.0
YWHAH,50.226967,,0.0,0.0,R_Post_vs_NR_Post,100.0
SAMD9,50.21315,2.833672,0.0,0.0,R_Post_vs_NR_Post,100.0
FPGS,50.167023,2.5021436,0.0,0.0,R_Post_vs_NR_Post,100.0
MBOAT7,50.1422,-0.37992063,0.0,0.0,R_Post_vs_NR_Post,100.0
MIA,50.118374,,0.0,0.0,R_Post_vs_NR_Post,100.0
LRCH4,50.084133,,0.0,0.0,R_Post_vs_NR_Post,100.0
NMD3,50.06405,,0.0,0.0,R_Post_vs_NR_Post,100.0
RAPGEF1,49.974487,0.49061936,0.0,0.0,R_Post_vs_NR_Post,100.0
GCC2,49.96998,,0.0,0.0,R_Post_vs_NR_Post,100.0
ANKH,49.899853,,0.0,0.0,R_Post_vs_NR_Post,100.0
FKBP10,49.87891,-3.326838,0.0,0.0,R_Post_vs_NR_Post,100.0
FUS,49.848335,,0.0,0.0,R_Post_vs_NR_Post,100.0
RGCC,49.751015,2.0286021,0.0,0.0,R_Post_vs_NR_Post,100.0
HDAC7,49.750576,,0.0,0.0,R_Post_vs_NR_Post,100.0
GUCD1,49.73724,,0.0,0.0,R_Post_vs_NR_Post,100.0
TMEM173,49.726273,-0.890128,0.0,0.0,R_Post_vs_NR_Post,100.0
C1QB,49.705463,2.9150195,0.0,0.0,R_Post_vs_NR_Post,100.0
UGDH,49.670284,0.9852174,0.0,0.0,R_Post_vs_NR_Post,100.0
NID1,49.653545,,0.0,0.0,R_Post_vs_NR_Post,100.0
SFXN3,49.6074,,0.0,0.0,R_Post_vs_NR_Post,100.0
STARD3,49.57782,-0.968621,0.0,0.0,R_Post_vs_NR_Post,100.0
CDK2AP1,49.511627,-1.2608274,0.0,0.0,R_Post_vs_NR_Post,100.0
SORBS3,49.46634,,0.0,0.0,R_Post_vs_NR_Post,100.0
MYEOV,49.46036,,0.0,0.0,R_Post_vs_NR_Post,100.0
PLOD1,49.443737,,0.0,0.0,R_Post_vs_NR_Post,100.0
TCEAL8,49.442398,0.6052895,0.0,0.0,R_Post_vs_NR_Post,100.0
GOLGA2,49.431583,-1.053955,0.0,0.0,R_Post_vs_NR_Post,100.0
TP53I3,49.408825,,0.0,0.0,R_Post_vs_NR_Post,100.0
CDK14,49.36849,,0.0,0.0,R_Post_vs_NR_Post,100.0
LOXL1,49.34458,3.2154686,0.0,0.0,R_Post_vs_NR_Post,100.0
SF3B3,49.30669,,0.0,0.0,R_Post_vs_NR_Post,100.0
RAB31,49.297077,,0.0,0.0,R_Post_vs_NR_Post,100.0
SH3PXD2B,49.279728,15.467415,0.0,0.0,R_Post_vs_NR_Post,100.0
LZTS2,49.1895,0.97593653,0.0,0.0,R_Post_vs_NR_Post,100.0
INPPL1,49.185925,,0.0,0.0,R_Post_vs_NR_Post,100.0
PIK3IP1,49.13466,,0.0,0.0,R_Post_vs_NR_Post,100.0
FBLN2,48.98422,-0.27338418,0.0,0.0,R_Post_vs_NR_Post,100.0
TMEM59,48.97476,-0.58595294,0.0,0.0,R_Post_vs_NR_Post,100.0
FAP,48.84289,,0.0,0.0,R_Post_vs_NR_Post,100.0
ITGA2,48.803146,-1.9125386,0.0,0.0,R_Post_vs_NR_Post,100.0
LFNG,48.775078,-1.1977315,0.0,0.0,R_Post_vs_NR_Post,100.0
DHRS3,48.764988,-1.9593012,0.0,0.0,R_Post_vs_NR_Post,100.0
B4GALT5,48.684334,,0.0,0.0,R_Post_vs_NR_Post,100.0
MEGF6,48.683205,18.445024,0.0,0.0,R_Post_vs_NR_Post,100.0
FARP1,48.67178,-1.7327232,0.0,0.0,R_Post_vs_NR_Post,100.0
ELN,48.64818,,0.0,0.0,R_Post_vs_NR_Post,100.0
FAM114A1,48.622307,-3.5558991,0.0,0.0,R_Post_vs_NR_Post,100.0
TNS3,48.55852,-0.31273517,0.0,0.0,R_Post_vs_NR_Post,100.0
ATP6V0E1,48.53632,0.27885213,0.0,0.0,R_Post_vs_NR_Post,100.0
LMCD1,48.497204,-2.5363219,0.0,0.0,R_Post_vs_NR_Post,100.0
PCOLCE,48.37065,1.6385487,0.0,0.0,R_Post_vs_NR_Post,100.0
C14orf119,48.277935,,0.0,0.0,R_Post_vs_NR_Post,100.0
ITGA1,48.2663,-1.9932164,0.0,0.0,R_Post_vs_NR_Post,100.0
TCIRG1,48.213943,,0.0,0.0,R_Post_vs_NR_Post,100.0
PXDN,48.209225,-0.88333434,0.0,0.0,R_Post_vs_NR_Post,100.0
MRTFA,48.128643,,0.0,0.0,R_Post_vs_NR_Post,100.0
DPYD,48.110893,,0.0,0.0,R_Post_vs_NR_Post,100.0
FAM20C,48.100574,-1.5307703,0.0,0.0,R_Post_vs_NR_Post,100.0
PODXL,48.097267,,0.0,0.0,R_Post_vs_NR_Post,100.0
MYADM,48.042255,1.3183029,0.0,0.0,R_Post_vs_NR_Post,100.0
