protein,gene,spearman_r,spearman_p,pearson_r,pearson_p,n_cells,sample_id
CD8,CD8A,0.05773563274024261,1.688326036004605e-29,0.04104379635962891,1.1102078234214382e-15,38095,B03
CD20,MS4A1,0.010028926209454607,0.05029754067426265,0.006799834723705937,0.18445593128345866,38095,B03
CD68,CD68,0.17417188939700193,3.5771583632021765e-257,0.13799435389710601,2.7348967526234773e-161,38095,B03
CD31,PECAM1,0.1143155262085746,5.545742775182468e-111,0.16457379918844356,1.850391121584095e-229,38095,B03
CD11c,ITGAX,0.04690433491632017,5.213795144757696e-20,0.014227036196814766,0.005488447403889979,38095,B03
HLA-DR,HLA-DRA,0.4358344984821933,0.0,0.46489895250751345,0.0,38095,B03
aSMA,ACTA2,0.14509071347730929,2.872774023676688e-178,0.2406887618648385,0.0,38095,B03
KI67,MKI67,-0.0029114201350245636,0.5698775766983466,-0.0017722664692528662,0.7294187437897163,38095,B03
PD1,PDCD1,0.02626862130002074,2.9313141499023056e-07,0.00799825598917581,0.11850756950606839,38095,B03
PDL1,CD274,0.027601319031949064,7.12228024402522e-08,0.00016471764096616555,0.9743536766998188,38095,B03
FOXP3,FOXP3,0.02756380029610723,7.41836275152323e-08,0.0021573432940077647,0.6737144434697896,38095,B03
CD3,CD3D,0.05468823213420286,1.5356391899410023e-15,0.036415542192647365,1.1113535116181462e-07,21231,C03
CD3,CD3E,0.03605479450233548,1.481103745566377e-07,0.01608483453931634,0.019092879953947692,21231,C03
CD4,CD4,0.11847226701306923,3.185181871846869e-67,0.07907950919082439,8.296207639601825e-31,21231,C03
CD8,CD8A,0.07227584842177064,5.392442422194707e-26,0.05054499155099993,1.7176163531519704e-13,21231,C03
CD20,MS4A1,0.05074163248170375,1.3843518719611979e-13,0.020223639699397604,0.0032099115226806186,21231,C03
CD68,CD68,0.13525805064326937,3.088812880978608e-87,0.14886752245494084,1.799143149961745e-105,21231,C03
CD31,PECAM1,0.17430630912605224,1.8451502578445958e-144,0.21742982529946106,1.4073242235630572e-225,21231,C03
CD11c,ITGAX,0.05814264373221614,2.2800231711127404e-17,0.016798608276523238,0.014375913903604326,21231,C03
HLA-DR,HLA-DRA,0.4074963522977509,0.0,0.3799133244108115,0.0,21231,C03
aSMA,ACTA2,0.1643109713742151,2.326714646308432e-128,0.13338100124950444,7.427655698981052e-85,21229,C03
KI67,MKI67,0.007154479839700162,0.29721639635781016,0.0005540566333181636,0.9356597982877458,21231,C03
PD1,PDCD1,0.05127649427927764,7.667443301291674e-14,0.014332168543233027,0.03677035813376313,21231,C03
PDL1,CD274,0.04170766498531314,1.2059290622255147e-09,-0.0035961687054927856,0.6003038588908555,21231,C03
FOXP3,FOXP3,0.0341728871890256,6.343811165823354e-07,0.006212164641917067,0.36540111098318034,21231,C03
CD3,CD3D,-0.038638761801100485,1.871434789889577e-12,-0.04363036918670305,1.7983139848266126e-15,33210,D03
CD3,CD3E,-0.02244706813904477,4.29579676932005e-05,-0.03214564739392822,4.6481341781878646e-09,33209,D03
CD4,CD4,0.08011229073767934,1.915902932844839e-48,0.05908608082822456,4.307526024495442e-27,33227,D03
CD8,CD8A,0.06995602096442576,2.508283652600706e-37,0.047750538090823996,3.0727288971787953e-18,33227,D03
CD20,MS4A1,0.031174125568084726,1.3183242273919363e-08,0.02027123174708238,0.0002195957783633133,33227,D03
CD68,CD68,0.1844358842480997,4.825638306696419e-252,0.13310788672549884,3.4837687308513024e-131,33227,D03
CD31,PECAM1,0.15748169788036803,1.8148506557952103e-183,0.17903347243852288,2.2250277005698495e-237,33227,D03
CD11c,ITGAX,0.0529633185547239,4.42756614632659e-22,0.009575758273086214,0.08090311206790753,33227,D03
HLA-DR,HLA-DRA,0.47103334677833997,0.0,0.41433762953354714,0.0,33227,D03
aSMA,ACTA2,0.22919526111417562,0.0,0.23385576303824876,0.0,33226,D03
KI67,MKI67,,,,,33227,D03
PD1,PDCD1,0.031520909388586836,9.087848254308027e-09,0.019661152435628257,0.0003382418871475885,33227,D03
PDL1,CD274,0.022542163040637293,3.96662760775187e-05,-0.0004947322606990472,0.9281459504631724,33227,D03
FOXP3,FOXP3,0.043083427107529514,3.9432967964192844e-15,0.009407694666994712,0.08637569161134057,33227,D03
CD3,CD3D,0.061677611277627976,2.987313319261824e-73,0.09307856803392368,9.751850152933561e-165,85992,E03
CD3,CD3E,0.050918160548135506,1.7850516593264044e-50,0.06836011469550231,1.3671114738512575e-89,85992,E03
CD4,CD4,0.09340772948762104,6.461766292670709e-166,0.08985538122012174,1.2238903668201786e-153,86003,E03
CD8,CD8A,0.07417031443586088,3.507605476878197e-105,0.10447762961342437,2.801799034302811e-207,86003,E03
CD20,MS4A1,0.06904114886353446,2.3148102927591123e-91,0.2901817662175877,0.0,86003,E03
CD68,CD68,0.166103721842655,0.0,0.17664712559741227,0.0,86003,E03
CD31,PECAM1,0.1402917020453279,0.0,0.2808689428349523,0.0,86003,E03
CD11c,ITGAX,0.005303838476348719,0.11984935317132835,0.0038128647600951648,0.26349919694056306,86003,E03
HLA-DR,HLA-DRA,0.44706749395649725,0.0,0.3947699276269363,0.0,86003,E03
aSMA,ACTA2,0.219164996911223,0.0,0.2433395223339078,0.0,86003,E03
KI67,MKI67,0.0042043214879092855,0.21759139001239342,0.000966518538921311,0.776839750064444,86003,E03
PD1,PDCD1,0.014693125423498299,1.6390889636694025e-05,0.024781304041013565,3.636568434599083e-13,86003,E03
PDL1,CD274,-0.016736134637144687,9.184297639610307e-07,-0.006498469591828003,0.05668251444268048,86003,E03
FOXP3,FOXP3,-0.00256935775313517,0.4511572994880927,-0.005376945464998889,0.11483098253415429,86003,E03
